 serial         player_name              club    position  assists  corner_taken  offsides  dribbles  match_played
42       24              Gnabry            Bayern     Forward        2             3         0        12             8
43       24           Griezmann          Atlético     Forward        2             2         1         8             9
44       24          Renan Lodi          Atlético    Defender        2             1         5         9            10
45       24             Rodrygo       Real Madrid     Forward        2             1         1        20            11
46       24         Hudson-Odoi           Chelsea  Midfielder        2             1         1        15             5
47       24            Jorginho           Chelsea  Midfielder        2             1         0         1             8
48       24         André Silva           Leipzig     Forward        2             0         9         5             6
49       24            Sterling         Man. City     Forward        2             0         6        14            12
50       24               Salah         Liverpool     Forward        2             0         5        49            13
51       24               Ikoné              LOSC  Midfielder        2             0         1        15             5
52       24              Werner           Chelsea     Forward        2             0         1        10             5
53       24               Jones         Liverpool  Midfielder        2             0         1         0             4
54       24       Matheus Nunes       Sporting CP  Midfielder        2             0         0        21             6
55       24              Davies            Bayern  Midfielder        2             0         0        18             7
56       24            Mazraoui              Ajax    Defender        2             0         0        13             8
57       24               Mendy       Real Madrid    Defender        2             0         0         8            10
58       24               Keïta         Liverpool  Midfielder        2             0         0         6            10
59       24           Henderson         Liverpool  Midfielder        2             0         0         2            12
60       24               Vidal             Inter  Midfielder        2             0         0         2             7
61       24      Ricardo Esgaio       Sporting CP    Defender        2             0         0         1             8
62       24         Fernandinho         Man. City  Midfielder        2             0         0         1             8
63       64             Seiwald          Salzburg  Midfielder        1            18         1         5             8
64       64            Berghuis              Ajax     Forward        1            15         2         3             8
65       64         Gravenberch              Ajax  Midfielder        1            15         1        18             8
66       64                Lang       Club Brugge     Forward        1            12         5        17             6
67       64           Aebischer        Young Boys  Midfielder        1            11         0         6             6
68       64           Tsygankov       Dynamo Kyiv  Midfielder        1            10         0         8             6
69       64  Oxlade-Chamberlain         Liverpool  Midfielder        1             9         0         6             6
70       64            S. Thill           Sheriff  Midfielder        1             9         0         1             6
71       64            Di María             Paris     Forward        1             8         1         3             5
72       64         Koopmeiners          Atalanta  Midfielder        1             8         0         1             5
73       64              Neymar             Paris     Forward        1             7         1        27             6
74       64               Lemar          Atlético  Midfielder        1             7         0         7             8
75       64             Rakitić           Sevilla  Midfielder        1             7         0         0             5
76       64        De Ketelaere       Club Brugge     Forward        1             6        10         6             6
77       64              Malcom             Zenit     Forward        1             6         2        12             6
78       64              Vormer       Club Brugge  Midfielder        1             6         1         0             4
79       64              Rieder        Young Boys  Midfielder        1             6         0         2             6
80       64                Reus          Dortmund  Midfielder        1             5         7         5             6
81       64        Alan Patrick  Shakhtar Donetsk  Midfielder        1             4         0         5             4
82       64                Koke          Atlético  Midfielder        1             4         0         2             9
83       64              Milner         Liverpool  Midfielder        1             4         0         1             8
84       64            Grealish         Man. City  Midfielder        1             3         6        18             7
85       64        T. Hernández             Milan    Defender        1             3         4        10             5
86       64             Benzema       Real Madrid     Forward        1             2         9        18            12
87       64              Iličić          Atalanta  Midfielder        1             2         2        13             4
88       64              Dybala          Juventus     Forward        1             2         0         8             5
89       64             Vanaken       Club Brugge  Midfielder        1             2         0         7             6
90       64        Bruno Tabata       Sporting CP  Midfielder        1             2         0         2             4
91       64          João Félix          Atlético     Forward        1             1         3        21             8
92       64              Taremi             Porto     Forward        1             1         2         4             6
93       64             Ocampos           Sevilla  Midfielder        1             1         1        16             6
94       64      Moumi Ngamaleu        Young Boys  Midfielder        1             1         0        34             6
95       64           Zinchenko         Man. City    Defender        1             1         0         3             8
96       64              Aurier        Villarreal    Defender        1             1         0         0             5
97       64                Mané         Liverpool  Midfielder        1             0         9        17            13
98       64            Paulinho       Sporting CP     Forward        1             0         5         8             8
99       64          Diogo Jota         Liverpool     Forward        1             0         4        19            11
100      64               Jesus         Man. City     Forward        1             0         4         7             8
101      64          Rafa Silva           Benfica     Forward        1             0         3        27             9
102      64         Rafael Leão             Milan     Forward        1             0         3        16             4
103      64            Valverde       Real Madrid  Midfielder        1             0         3        10            11
104      64              Haller              Ajax     Forward        1             0         3         9             8
105      64           Greenwood       Man. United     Forward        1             0         3         6             4
106      64      Alexis Sánchez             Inter     Forward        1             0         3         2             6
107      64           Luis Díaz         Liverpool     Forward        1             0         2        42            13
108      64             Perišić             Inter  Midfielder        1             0         2        13             8
109      64          Kristensen          Salzburg    Defender        1             0         2        12             8
110      64               Džeko             Inter     Forward        1             0         2         4             7
111      64              Dzyuba             Zenit     Forward        1             0         2         1             6
112      64              Pavard            Bayern    Defender        1             0         2         0            10
113      64            Van Dijk         Liverpool    Defender        1             0         2         0             9
114      64             Musiala            Bayern  Midfielder        1             0         1        20             8
115      64              Traore           Sheriff  Midfielder        1             0         1        13             6
116      64             Pulišić           Chelsea  Midfielder        1             0         1        11             7
117      64               Mæhle          Atalanta    Defender        1             0         1        11             5
118      64            Carvajal       Real Madrid    Defender        1             0         1         9            11
119      64               Blind              Ajax    Defender        1             0         1         8             8
120      64             Meunier          Dortmund    Defender        1             0         1         7             6
121      64          Zeki Çelik              LOSC    Defender        1             0         1         5             7
122      64               Gomes              LOSC  Midfielder        1             0         1         3             4
123      64           Camavinga       Real Madrid  Midfielder        1             0         1         2            10
124      64           Bentancur          Juventus  Midfielder        1             0         1         2             5
125      64              Azmoun             Zenit     Forward        1             0         1         2             5
126      64            Palomino          Atalanta    Defender        1             0         1         0             5
127      64          Jordi Alba         Barcelona    Defender        1             0         1         0             5
128      64             Adeyemi          Salzburg     Forward        1             0         0        23             8
129      64         Birmančević             Malmö  Midfielder        1             0         0        19             6
130      64         Brahim Díaz             Milan  Midfielder        1             0         0        19             5
131      64        Loftus-Cheek           Chelsea     Forward        1             0         0        15             8
132      64          Zappacosta          Atalanta    Defender        1             0         0        12             6
133      64             Pedraza        Villarreal  Midfielder        1             0         0         9            10
134      64       Lucas Vázquez       Real Madrid  Midfielder        1             0         0         6             8
135      64             Freuler          Atalanta  Midfielder        1             0         0         6             6
136      64            Dumfries             Inter    Defender        1             0         0         5             7
137      64                Olmo           Leipzig     Forward        1             0         0         5             2
138      64       Gonçalo Ramos           Benfica     Forward        1             0         0         4             7
139      64               Kanté           Chelsea  Midfielder        1             0         0         4             6
140      64              Laimer           Leipzig  Midfielder        1             0         0         4             6
141      64           Moi Gómez        Villarreal  Midfielder        1             0         0         4             6
142      64               Sobol       Club Brugge    Defender        1             0         0         4             4
143      64            Karavaev             Zenit    Defender        1             0         0         4             4
144      64          De Sciglio          Juventus    Defender        1             0         0         4             4
145      64          Vertonghen           Benfica    Defender        1             0         0         3            10
146      64         Azpilicueta           Chelsea    Defender        1             0         0         3             9
147      64            Martínez              Ajax    Defender        1             0         0         3             8
148      64               Origi         Liverpool     Forward        1             0         0         3             7
149      64             Mukiele           Leipzig    Defender        1             0         0         3             6
150      64               Hefti        Young Boys    Defender        1             0         0         3             6
151      64              Grujić             Porto  Midfielder        1             0         0         3             6
152      64        Fábio Vieira             Porto  Midfielder        1             0         0         3             2
153      64      Gonçalo Inácio       Sporting CP    Defender        1             0         0         2             7
154      64             Pašalić          Atalanta  Midfielder        1             0         0         2             5
155      64             Lingard       Man. United  Midfielder        1             0         0         2             4
156      64             Poulsen           Leipzig     Forward        1             0         0         2             4
157      64              Schulz          Dortmund    Defender        1             0         0         2             4
158      64       Al. Miranchuk          Atalanta     Forward        1             0         0         2             2
159      64               Neuer            Bayern  Goalkeeper        1             0         0         1             9
160      64         Christensen           Chelsea    Defender        1             0         0         1             8
161      64            Rafa Mir           Sevilla     Forward        1             0         0         1             6
162      64              Kalulu             Milan    Defender        1             0         0         1             5
163      64              Danilo          Juventus    Defender        1             0         0         1             5
164      64          Tagliafico              Ajax    Defender        1             0         0         1             3
165      64               Novoa           Leipzig  Midfielder        1             0         0         1             1
166      64        Thiago Silva           Chelsea    Defender        1             0         0         0             9
167      64          Marquinhos             Paris    Defender        1             0         0         0             8
168      64            Klaassen              Ajax  Midfielder        1             0         0         0             7
169      64              Kessié             Milan  Midfielder        1             0         0         0             5
170      64            Gerhardt         Wolfsburg  Midfielder        1             0         0         0             5
171      64             Tolisso            Bayern  Midfielder        1             0         0         0             4
172      64             Schuurs              Ajax    Defender        1             0         0         0             3
173      64            Kryvtsov  Shakhtar Donetsk    Defender        1             0         0         0             3
174      64            Stanišić            Bayern    Defender        1             0         0         0             2
175      64            Bernardo          Salzburg    Defender        1             0         0         0             2
